A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12
47.5815869,394.4785139,16.3565879,0.171237364,0.240762609,25.55663241,-3.34e-05,-2.33e-05,0.028298597,-0.085354099,1.608730993,-2.46e-05,1592.238202,5218.595641,547.8446865,-0.093260071,-0.096283193,856.218549
44.72237167,377.7642332,15.21432659,0.016076766,0.016521056,23.87818208,2.04e-07,9.82e-06,-0.000279278,-0.014216341,0.662047955,1.63e-05,1481.918619,4989.392957,511.6879167,0.001611118,0.000623978,811.3488797
42.877373,399.2721275,17.11522635,0.485498422,0.619726249,23.37590907,10.74000062,-1.159712492,0.243766774,-0.200348208,-0.262441037,1.763676068,1349.371176,5235.025266,552.5438792,-1.373594346,-1.886024538,736.5905585
25.80091117,410.0311991,15.46031863,0.020518071,0.02064265,13.42480373,4.426040012,-3.698199547,-1.168235016,0.001832909,0.001899694,-1.91946391,870.4922918,5334.093117,490.1616197,-0.008819005,-0.023497381,464.9036168
44.2808451,375.1436178,15.03274365,0.015902733,0.015203559,23.64215514,-1.99e-06,2.15e-06,1.77e-05,0.033455336,-0.355020867,1.36e-05,1464.923637,4952.647376,505.7979593,0.000240436,0.000649165,804.087096
20.34316838,370.2555891,22.14006378,57.5306582,11.74998649,6.350551589,-3.25e-06,0.00012455,4.86e-05,9.16e-05,0.000134778,-4.11e-05,695.3751218,4606.729961,487.5512461,676.4440093,348.5116691,111.1196107
21.90475221,361.5938366,30.28532118,-66.4927118,-13.12137778,8.803199892,0.939742096,2.698663207,14.79789669,-16.05210367,-7.30131311,0.453056849,736.5428583,4442.001812,535.1416026,-730.9241192,-325.5103304,147.8103232
52.20741043,425.0688546,15.31671453,0.005462544,0.006774165,27.22121348,-4.94e-06,-6.65e-05,2.39e-07,-2.88e-05,-3.34e-06,-3.52e-05,1783.784551,5659.045205,594.529288,-0.000204611,-4.86e-06,924.2126474
26.47384828,407.4038133,15.24756488,12.23035233,0.807797314,13.01527682,0.900307351,-4.998592913,-39.57819134,8.683184046,2.102573562,-2.9097789,910.1257375,5310.688695,486.5334256,118.3296196,11.19544362,474.3621785
25.16060263,405.5541779,16.58633998,0.090942604,0.022643023,13.02482804,0.554058877,-16.76501915,-1.768803387,0.020746469,-0.004099085,-10.5129564,866.6404513,5179.834409,440.3806562,0.047438889,-0.0577393,470.8725665
25.80329983,407.4259206,14.97212189,0.024043982,0.021225179,12.85206224,0.736233853,-5.238529638,-1.626655178,0.002960591,0.002099875,-2.918829271,892.7955154,5212.470088,456.9133449,0.009797737,-0.014692473,472.1490026
52.28180798,416.9347447,19.87775317,0.093621268,0.053290864,27.32067053,-3.34e-06,6.84e-06,1.55e-07,3.93e-06,-1.25e-06,2.49e-06,1775.537323,5522.72614,611.5303427,1.52e-05,-1.35e-05,916.9228915
34.81797425,376.905005,17.12025843,1.112823238,1.294951593,11.4606239,-7.961626183,0.363961574,-3.434926169,0.272187954,0.520168627,-2.715627461,1206.503838,4854.8616,520.7233131,22.0650395,32.03589079,507.4702546
39.32588933,288.8330292,17.84490281,0.006341299,0.014724084,17.48784825,-32.73716354,-0.311770549,-3.443959248,0.001934079,0.000959702,-2.654127492,1276.649323,3631.171837,389.5816749,0.09126463,0.013982437,613.2674372
25.44899884,407.4642906,15.53840787,0.683577302,0.782532354,13.35856172,0.549413641,-4.943493368,-0.540717197,0.849035261,0.04747989,-2.88110661,861.9806544,5328.42648,460.8106737,24.21754508,-0.543310713,476.9216131
33.86661822,288.3565672,21.10780755,0.207337624,0.216525985,6.298416745,-7.964007549,0.100750196,-8.565894744,0.063144913,0.064515623,-3.126933781,1195.017881,3532.131807,691.8797194,2.687603346,0.965369198,456.5919316
24.98726903,405.3951017,16.79670111,0.105986091,-0.029457462,13.08439312,0.530187914,-18.60636748,-1.804502663,0.014847716,-0.031683645,-11.76627915,862.5835536,5174.99661,436.1593159,0.175857782,-0.136491488,470.3789957
52.28725003,418.5924252,19.04864086,0.02517838,0.020861211,27.33385057,-8.96e-07,4.4e-06,4.16e-07,2.6e-06,-2.82e-08,1.98e-06,1778.460064,5550.472242,608.4872444,1.72e-05,1.76e-06,919.992377
25.44899671,407.4642922,15.48298996,-0.288559853,-0.629226424,13.35846616,0.549412282,-4.943543677,0.549989943,-0.471424228,0.046258121,-2.881104173,861.9806613,5328.426188,460.8105912,-24.21744014,0.543299062,476.9217394
26.09633776,399.9117822,17.45704604,29.60009016,9.028228894,9.856785251,-5.8e-07,-5.16e-06,-5.81e-06,8.39e-06,8.27e-06,3.77e-06,846.0308677,5000.502353,493.5919777,399.0207618,296.0695387,250.8004626
28.13263829,357.2882801,14.42782478,0.037794343,0.037090437,9.722129586,1.612303302,0.191980624,6.008588477,-0.010362983,-0.009373405,0.77820316,988.0112239,4613.592523,417.9682845,-0.077019312,0.014574767,483.6653171
43.4269725,370.0010334,14.67576261,0.015299053,0.014248683,23.17726343,7.14e-06,2.52e-06,3.07e-06,-7.51e-06,-8.86e-06,6.24e-06,1431.992233,4880.447811,494.3478372,-2.79e-06,-1.38e-05,789.7412997
23.7097102,380.374281,22.36242436,-49.45895273,-10.83456799,7.763750809,1.431316397,2.436458568,2.924572943,-17.1618586,-6.912362247,0.841215855,798.9212777,4715.903844,514.1828859,-564.5633888,-297.1502796,174.7976824
31.9359681,263.552506,27.97619315,0.032088531,0.02507521,6.510127294,-8.728358385,-0.054393254,-8.024201066,0.005752595,0.004476276,-2.720821741,1120.78652,2717.239755,291.0945434,0.372862916,0.027912095,424.2845882
21.24447416,358.8636108,31.00105997,68.52739178,13.40784343,8.214280105,0.593767459,-0.163378505,-0.293176239,7.489356452,6.332665387,-0.042361963,708.897578,4367.858282,537.4718559,763.3186869,336.3737645,110.6431291
46.17209899,387.4054249,15.87704204,0.774141337,0.896767959,25.52161148,-7.210938377,-0.43451675,0.120683001,-0.223769879,-0.290539985,-2.205763613,1536.922313,5099.224656,527.9173059,-1.407670638,-1.822616087,832.0415164
43.82995314,415.5127873,18.07770095,-0.075902584,-0.136114512,21.85682469,4.054308438,0.64197433,0.494594336,0.069926742,0.063895909,2.242035558,1471.483739,5387.342734,599.0252782,-3.956547259,-5.179627541,704.7879565
