ε11,ε22,ε12,ɣ13,ɣ23,κ11,κ22,κ12,A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12,K11,K22,K12
1,0.986486486,0,0,0.028378378,0,0,0,30.09743935,417.423673,7.989384814,0.011680378,0.049358777,11.8344161,-3.58E-06,6.63E-06,6.15E-06,5.85E-06,4.87E-06,6.00E-06,1033.02273,5372.252239,497.6347715,0.000171903,-1.34E-05,481.7276644,-0.001262015,47.69845326,-0.005028001
1.303378378,1,0,0,0.032432432,0,0,0,36.3474992,319.012469,10.70716143,0.043558799,0.04029372,18.37124339,-5.15E-05,4.61E-05,1.22E-05,1.49E-06,-5.62E-05,5.82E-05,1144.825381,4165.046337,381.7606415,-3.07E-06,-0.000556463,644.0291616,-0.000455864,33.56471803,0.053006967
1,1,0,0,0,-0.005513514,0.008108108,0,37.88765547,319.7902348,25.0640271,0.039068289,0.042006651,16.89751342,0.263020743,-0.364558536,4.653502508,0.009021775,0.0108263,-0.060910814,1261.473926,3846.646184,468.921965,0.076256325,0.431396976,514.0222907,0.005013566,-0.010116565,-0.002551499
1.080405405,1,0,0,0,0,-0.004054054,0,45.88719249,354.8498141,18.39168611,0.018359257,0.016472551,22.25446684,-23.02307126,-0.448938251,-2.453981432,-0.000571108,0.00053629,-8.587164786,1529.693934,4599.646493,514.3918808,0.036217635,0.022802436,753.9431239,0.000438143,-4.35E-05,0.000197301
1,1,-0.02972973,0,-0.025675676,0,0,0,41.55880828,412.1985548,17.89756729,-15.09914182,-3.195369473,19.84066628,1.53E-05,1.08E-05,5.02E-06,-1.03E-05,-9.02E-06,9.39E-06,1402.352092,5381.780775,573.84602,-156.6543275,-89.48980284,673.5819878,7.291530485,46.8704911,-2.301092244
1,1,0,0,-0.001351351,0,0,0.000135135,52.35476266,420.4577643,18.0832561,0.023561562,0.02337905,27.40287858,2.68E-06,4.17E-06,-0.000172057,0.037152605,-0.005515277,2.80E-06,1781.427055,5581.690168,604.8955012,-0.003733702,-0.001634981,923.0855909,7.718045639,48.01713668,0.112801352
1,1,0,0.005405405,0,0,0,0.000540541,52.30556824,420.4247119,18.0823235,0.018766627,0.018693311,27.37676919,1.71E-05,2.81E-05,5.50E-05,0.150490786,-0.019622291,2.25E-05,1779.711375,5580.186135,604.2802672,-0.013324502,-0.005679644,922.1184214,7.733255638,48.16038225,0.227354005
1.132432432,1,0,0,0,0.000459459,0,0,43.42855533,370.0018009,14.67752124,0.01690536,0.016886265,23.17947037,-8.598693331,-0.007103129,-0.022269508,4.09E-05,0.000139146,-2.591230198,1432.024909,4880.418674,494.2867521,-0.156195136,-0.160200897,789.7342951,-2.21E-05,-2.99E-08,-1.11E-05
1,1,0,0,0.024324324,0,0,0.002432432,41.87521363,414.0549922,16.54159246,0.0265473,0.026399059,19.88209663,-1.68E-05,-1.45E-05,-3.81E-06,1.291718447,0.933860978,-1.44E-05,1428.826601,5376.569421,567.1545324,-0.090567976,-0.132787104,679.0044592,3.45E-05,46.44894043,0.001902368
1,1.001081081,0,0,0,0.006891892,0,0,26.07679386,407.481775,15.72489402,0.020692149,0.026198381,12.91536337,0.781343738,5.350700435,1.276680221,-0.002670013,-0.004589077,3.598244717,892.4472799,5320.676492,495.2358853,-0.003770455,0.016820999,473.6054255,0.000158648,-0.000153023,2.81E-06
